,index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,pred_salse
86,406145,124,6,12/07/2014,297,1,0,0,0,2548.16
87,397642,1028,2,31/12/2013,438,1,0,0,1,3650.96
88,273960,95,2,24/09/2013,1099,1,1,0,0,10697.63933333333
89,12104,208,1,28/10/2013,323,1,0,0,0,2048.54
90,361202,249,2,08/07/2014,449,1,0,0,0,4195.698666666667
91,79347,887,3,20/03/2013,614,1,1,0,0,7437.767999999999
92,462803,73,1,28/04/2014,601,1,1,0,1,6024.9259999999995
93,141713,13,4,02/04/2015,501,1,1,0,1,7038.64
94,703618,1049,2,03/09/2013,580,1,0,0,1,3429.87
95,308360,144,4,05/02/2015,769,1,1,0,0,8314.37
96,317995,847,3,14/08/2013,1018,1,1,0,1,8356.503
97,364408,796,3,08/05/2013,717,1,0,0,0,7330.985
98,27886,396,4,11/06/2015,1139,1,0,0,0,9396.04
99,706814,1080,7,15/09/2013,0,0,0,0,0,0.0
100,514516,675,5,26/09/2014,338,1,0,0,0,2850.491
101,577373,1099,1,01/12/2014,1236,1,1,0,0,10811.15
102,190561,791,1,11/05/2015,858,1,0,0,0,7599.93
103,92512,1014,2,24/03/2015,1476,1,0,0,0,12139.12
104,565163,487,2,04/11/2014,737,1,1,0,0,7971.47
105,500246,427,3,13/02/2013,701,1,0,0,1,5868.08
106,223708,254,5,14/11/2014,282,1,1,0,0,3318.1324404761913
107,555732,43,5,31/01/2014,710,1,0,0,0,6282.49
108,654150,1074,2,09/06/2015,421,1,0,0,0,3856.9893333333334
109,558350,549,6,29/06/2013,380,1,0,0,0,3433.661666666667
110,52167,1095,2,08/01/2013,720,1,1,0,0,5177.7660000000005
111,296981,295,1,28/10/2013,612,1,0,0,1,4084.61
112,332143,319,1,14/10/2013,863,1,0,0,1,6904.175
113,426553,1002,4,10/04/2014,642,1,0,0,0,5123.8175
114,481847,448,6,06/12/2014,544,1,0,0,0,5682.54
115,100496,527,2,03/09/2013,1046,1,0,0,1,10699.06
116,706377,255,5,12/04/2013,652,1,1,0,0,6597.59
117,599169,581,5,04/07/2014,651,1,1,0,0,6043.4
118,55294,185,6,05/01/2013,550,1,0,0,0,6399.8
119,218737,244,6,22/11/2014,538,1,0,0,0,5124.91
120,266706,1082,6,05/01/2013,877,1,0,0,0,5413.0
121,441953,216,5,20/03/2015,837,1,1,0,0,6987.2
122,127184,350,4,05/03/2015,508,1,1,0,0,7085.06780952381
123,312223,748,1,31/03/2014,822,1,1,0,0,9587.622
124,583377,718,1,08/12/2014,962,1,0,0,0,8714.18
125,523743,739,5,21/02/2014,789,1,1,0,0,10029.22
126,476775,614,7,21/12/2014,0,0,0,0,0,0.0
127,620142,673,2,18/02/2014,615,1,1,0,0,7236.700523809523
128,460092,83,1,10/06/2013,367,1,0,0,0,3378.2041666666664
129,169260,976,3,18/09/2013,598,1,0,0,0,5513.286666666666
130,177084,637,6,06/04/2013,518,1,0,0,0,4886.3144523809515
131,645354,122,2,07/01/2014,714,1,1,0,0,6157.04
132,645737,898,1,24/11/2014,1013,1,1,0,0,9978.974285714286
133,272578,1080,4,26/06/2014,710,1,0,0,0,7843.78
134,600374,291,1,30/03/2015,1290,1,1,0,0,12345.99
135,566038,24,4,03/01/2013,711,1,0,0,1,7266.005666666667
136,381862,1096,7,18/08/2013,0,0,0,0,0,0.0
137,535335,637,5,30/05/2014,860,1,0,0,0,9652.389000000001
138,499411,1002,2,02/06/2015,850,1,1,0,0,8241.19638095238
139,625219,666,1,10/03/2014,497,1,0,0,0,4668.380833333334
140,61823,1089,7,24/11/2013,0,0,0,0,0,0.0
141,653471,334,6,31/08/2013,515,1,0,0,0,4638.005
142,441789,300,6,30/08/2014,951,1,0,0,1,7599.33
143,155435,207,1,22/09/2014,1166,1,0,0,0,8889.076666666666
144,226567,683,3,27/05/2015,854,1,0,0,0,8050.4
145,107330,1094,2,14/05/2013,394,1,1,0,0,5112.644976190477
146,149417,700,4,09/07/2015,576,1,0,0,0,4848.1025
147,191690,959,2,26/08/2014,744,1,0,0,0,6291.25
148,146544,766,7,22/06/2014,0,0,0,0,0,0.0
149,383603,1011,6,08/06/2013,977,1,0,0,0,7452.11
150,452941,570,5,13/12/2013,676,1,0,0,0,4091.0275
151,629103,685,2,10/09/2013,689,1,1,0,0,7438.089166666667
152,30258,158,3,16/04/2014,681,1,1,0,1,8201.316666666668
153,219501,66,5,29/05/2015,522,1,0,0,1,5528.632333333334
154,528607,76,2,30/07/2013,1080,1,1,0,0,10746.86
155,397525,572,3,16/10/2013,458,1,0,0,0,4858.837666666666
156,314281,184,6,11/10/2014,510,1,0,0,0,4845.496666666668
157,489418,1034,5,06/12/2013,775,1,1,0,0,6706.982000000001
158,182776,559,7,11/08/2013,0,0,0,0,0,0.0
159,335928,862,2,23/12/2014,1561,1,0,0,1,12464.943333333335
160,198358,171,2,11/11/2014,962,1,1,0,0,9093.7825
161,400219,33,7,07/12/2014,0,0,0,0,0,0.0
162,427476,936,4,27/11/2014,963,1,1,0,0,7797.378333333332
163,31892,948,2,18/02/2014,1682,1,1,0,0,6304.12
164,109374,371,6,04/05/2013,551,1,0,0,0,7400.3275
165,385320,242,1,05/05/2014,378,1,1,0,0,4538.84
166,517169,133,5,17/01/2014,622,1,0,0,0,4669.683333333333
167,369733,1031,1,15/12/2014,681,1,1,0,0,7177.139666666667
168,71343,850,4,07/02/2013,710,1,1,0,0,7214.9309523809525
169,42363,860,5,05/06/2015,833,1,1,0,0,6989.312714285716
170,612665,836,6,06/07/2013,301,1,0,0,0,2412.448
171,428563,965,6,30/11/2013,908,1,0,0,0,7798.82
172,610249,1096,1,26/01/2015,763,1,1,0,0,6577.26
173,669222,504,3,03/09/2014,836,1,1,0,1,6272.71
174,484348,230,1,30/12/2013,1327,1,0,0,1,11980.03
175,194089,826,1,02/12/2013,1170,1,1,0,0,10578.57
176,328888,975,2,30/07/2013,767,1,1,0,1,8426.32
177,485880,602,2,28/10/2014,547,1,0,0,1,4986.3475
178,699868,953,5,19/09/2014,553,1,1,0,0,5430.926666666666
179,265929,187,6,02/11/2013,491,1,0,0,0,3932.0475
180,154648,792,5,18/10/2013,599,1,0,0,0,5537.306500000001
181,376328,1035,4,27/11/2014,744,1,1,0,0,6685.2
182,530275,523,3,29/07/2015,1515,1,1,0,1,13360.82
183,441109,723,4,04/04/2013,461,1,0,0,1,5296.320452380954
184,26050,1025,7,26/05/2013,0,0,0,0,0,0.0
185,247671,18,7,04/01/2015,0,0,0,0,0,0.0
186,615467,997,3,03/09/2014,378,1,1,0,1,5095.0
187,267972,400,6,05/10/2013,805,1,0,0,0,5353.79
188,22318,1047,2,09/07/2013,491,1,0,0,0,4003.9491666666668
189,430083,819,1,02/09/2013,472,1,0,0,0,4620.7975
190,510014,668,1,02/06/2014,1562,1,1,0,0,13182.52
191,343803,585,4,22/01/2015,666,1,0,0,0,4050.2
192,85161,99,1,10/03/2014,404,1,0,0,0,4170.535666666666
193,505852,965,6,22/11/2014,847,1,0,0,0,7149.915
194,266131,590,4,21/02/2013,376,1,1,0,0,4722.01
195,397091,709,2,02/06/2015,1682,1,1,0,0,13160.61
196,112013,58,7,20/10/2013,0,0,0,0,0,0.0
197,492019,409,7,09/02/2014,0,0,0,0,0,0.0
198,73240,850,6,04/04/2015,826,1,0,0,0,6931.130333333334
199,203948,1058,3,06/03/2013,737,1,1,0,0,7797.823333333334
200,603210,1067,7,13/04/2014,0,0,0,0,0,0.0
201,82813,777,1,21/04/2014,0,0,0,b,1,0.0
202,634511,155,3,21/05/2014,632,1,1,0,0,6813.030333333333
203,28171,598,1,29/06/2015,871,1,1,0,0,7366.04
204,198571,493,2,01/07/2014,902,1,1,0,0,9242.39
205,70073,628,7,03/08/2014,0,0,0,0,1,0.0
206,551321,524,1,30/12/2013,1193,1,0,0,1,10515.246666666668
207,509286,966,4,04/04/2013,585,1,0,0,1,4408.745
208,24413,1022,5,27/12/2013,791,1,0,0,1,6915.415714285714
209,367168,380,3,05/03/2014,1720,1,1,0,0,18993.16
210,103724,132,3,14/01/2015,579,1,1,0,0,6039.405
211,704886,400,5,26/06/2015,999,1,0,0,0,6430.46
212,568270,988,4,29/08/2013,790,1,1,0,0,5537.192666666666
213,627934,906,2,19/03/2013,1476,1,1,0,0,14125.553999999998
214,520091,1028,2,05/11/2013,689,1,1,0,0,5943.842
215,505933,1100,6,23/03/2013,484,1,0,0,0,3592.47
216,67603,759,1,14/01/2013,607,1,0,0,0,4832.974
217,96570,223,1,27/10/2014,716,1,0,0,0,6927.758333333334
218,696883,936,7,15/03/2015,0,0,0,0,0,0.0
219,216455,780,6,11/07/2015,341,1,0,0,0,2932.9291666666663
220,472114,259,5,28/11/2014,2677,1,1,0,0,12471.49
221,437836,131,6,09/11/2013,582,1,0,0,0,5599.43
222,467331,251,3,28/01/2015,2241,1,1,0,0,17619.89
223,423483,1079,6,17/01/2015,517,1,0,0,0,6007.233666666666
224,533535,1003,3,05/03/2014,1029,1,1,0,0,11378.13
225,82465,980,4,05/09/2013,450,1,0,0,0,5567.325166666667
226,245480,654,2,27/01/2015,766,1,1,0,0,7250.95
227,155723,966,4,25/07/2013,517,1,0,0,1,4002.055
228,167485,1020,1,22/09/2014,929,1,0,0,0,7269.633000000001
229,574217,969,3,19/03/2014,610,1,1,0,0,3759.64
230,307718,1038,2,07/04/2015,490,1,0,0,1,5132.85
231,250666,516,3,09/07/2014,453,1,0,0,1,3981.0959999999995
232,233447,733,1,14/01/2013,3171,1,0,0,0,13830.367999999999
233,9408,595,6,31/05/2014,1881,1,0,0,0,15029.69
234,532318,260,3,16/07/2014,962,1,1,0,1,7456.963428571429
235,213221,768,6,02/02/2013,1251,1,0,0,0,10261.88
236,149118,940,1,14/01/2013,627,1,0,0,0,5988.38
237,643815,364,4,27/06/2013,563,1,0,0,0,4716.348333333333
238,205464,506,3,22/07/2015,763,1,0,0,1,6388.05
239,172737,671,3,29/05/2013,507,1,1,0,1,5809.38
240,358803,300,6,24/01/2015,862,1,0,0,0,7047.366
241,432064,84,2,17/06/2014,1563,1,1,0,0,15220.186666666668
242,243176,219,4,07/05/2015,455,1,1,0,0,3548.683111111112
243,165487,934,5,22/03/2013,764,1,1,0,0,8091.232666666666
244,206630,125,3,01/04/2015,1906,1,1,0,1,16245.38
245,380228,176,3,04/12/2013,757,1,1,0,0,7060.35
246,278339,223,2,26/11/2013,675,1,0,0,0,6085.37
247,125602,326,1,14/07/2014,429,1,1,0,0,5076.72
248,707930,339,2,27/08/2013,745,1,1,0,0,5851.73
249,647013,872,3,08/04/2015,659,1,0,0,1,6572.075
250,404917,579,7,23/11/2014,0,0,0,0,0,0.0
251,607690,974,5,28/02/2014,1599,1,0,0,0,11645.865
252,63394,979,7,12/04/2015,0,0,0,0,0,0.0
253,334403,880,3,04/06/2014,806,1,1,0,0,8113.78
254,440195,910,7,31/03/2013,0,0,0,0,0,0.0
255,87636,1084,6,04/07/2015,614,1,0,0,0,4756.095
256,189540,92,5,12/06/2015,453,1,0,0,0,4447.366309523808
257,18218,14,6,20/06/2015,402,1,0,0,0,3492.848500000001
258,396021,587,1,30/12/2013,960,1,0,0,1,7050.88
259,442052,230,4,24/10/2013,856,1,1,0,0,7183.83
260,397202,689,6,15/03/2014,589,1,0,0,0,5163.240714285714
261,251121,599,1,13/05/2013,1096,1,1,0,0,12550.141333333333
262,463013,596,7,22/12/2013,0,0,0,0,0,0.0
263,655331,576,1,11/03/2013,749,1,0,0,0,5265.802619047619
264,327407,141,4,26/06/2014,493,1,0,0,0,4074.03
265,355157,751,1,21/04/2014,0,0,0,b,1,0.0
266,654124,877,5,01/03/2013,925,1,0,0,0,6434.02
267,602473,375,2,23/04/2013,948,1,1,0,0,10910.235
268,414480,230,1,08/12/2014,988,1,0,0,0,7674.95
269,574764,545,3,22/01/2014,1087,1,1,0,0,11376.728333333334
270,136740,1022,1,04/03/2013,1093,1,1,0,0,10958.805
271,240843,597,3,20/08/2014,756,1,1,0,1,5504.12
272,130323,559,7,08/06/2014,0,0,0,0,0,0.0
273,688030,1024,6,18/07/2015,825,1,0,0,0,6364.28
274,43133,36,2,17/03/2015,1205,1,1,0,0,11314.94
275,172856,702,2,28/05/2013,351,1,1,0,1,4320.8
276,446048,623,7,10/02/2013,0,0,0,0,0,0.0
277,36534,105,4,17/10/2013,483,1,0,0,0,4590.3820000000005
278,612801,902,2,19/11/2013,648,1,1,0,0,4948.633333333334
279,256750,11,6,11/04/2015,786,1,0,0,0,5727.924833333334
280,623446,1039,5,28/06/2013,629,1,0,0,0,5689.836666666666
281,63314,102,1,16/02/2015,1174,1,1,0,0,8600.73
282,238452,543,5,18/10/2013,175,1,0,0,1,1677.49
283,43919,827,4,02/01/2014,1910,1,0,0,1,14237.0
284,258378,110,3,08/10/2014,647,1,1,0,0,4994.03
285,59774,945,1,05/01/2015,698,1,1,0,1,6249.77
286,31637,582,3,12/03/2014,749,1,0,0,0,6084.4205833333335
287,673741,554,4,16/01/2014,428,1,0,0,0,4007.26
288,659942,486,2,08/07/2014,384,1,0,0,1,3057.0351666666666
289,349639,637,6,15/02/2014,520,1,0,0,0,4771.807500000001
290,394865,806,5,31/01/2014,578,1,0,0,0,7157.166
291,255648,887,6,21/06/2014,462,1,0,0,0,4667.733499999999
292,379128,374,6,04/04/2015,668,1,0,0,0,6608.65
293,540897,1025,5,04/01/2013,804,1,0,0,1,6736.126833333332
294,662220,638,2,06/08/2013,431,1,0,0,1,4637.137976190476
295,160268,123,6,09/05/2015,490,1,0,0,0,3809.076666666667
296,654290,905,4,19/02/2015,1108,1,1,0,0,7792.0
297,599039,536,5,05/04/2013,989,1,0,0,1,8504.138285714285
298,651027,763,7,01/02/2015,0,0,0,0,0,0.0
299,553569,191,6,10/08/2013,694,1,0,0,0,6949.228
300,271750,957,4,20/02/2014,948,1,1,0,0,9159.741166666667
301,709864,268,4,04/06/2015,618,1,1,0,0,5403.81
302,300796,654,6,07/09/2013,266,1,0,0,0,2580.9666666666667
303,413674,612,6,07/09/2013,388,1,0,0,0,5355.480666666666
304,8402,747,3,27/08/2014,567,1,0,0,1,6067.928999999999
305,310059,656,6,18/05/2013,380,1,0,0,0,2821.04
306,319105,368,5,05/04/2013,592,1,0,0,1,7038.47
307,689752,959,3,18/09/2013,552,1,0,0,0,5936.83
308,516276,329,2,03/02/2015,708,1,1,0,0,8629.938666666667
309,338342,97,3,22/07/2015,535,1,0,0,1,4616.73
310,666229,314,2,13/08/2013,661,1,1,0,1,6839.536666666666
311,8353,463,7,11/01/2015,0,0,0,0,0,0.0
312,386012,258,1,20/05/2013,0,0,0,a,0,0.0
313,471619,283,3,13/11/2013,621,1,0,0,0,5715.8225
314,612347,556,1,15/04/2013,754,1,0,0,0,6247.29
315,514445,388,5,24/01/2014,1211,1,1,0,0,11359.165
316,396179,67,3,03/09/2014,837,1,1,0,1,8300.39
317,590638,725,5,16/01/2015,677,1,1,0,0,6450.98
318,683448,219,4,06/06/2013,416,1,1,0,0,3296.9970000000003
319,218062,1077,2,10/02/2015,479,1,0,0,0,3806.023333333333
320,706606,322,4,23/05/2013,589,1,0,0,0,4834.557
321,453487,814,3,20/02/2013,581,1,1,0,1,5389.003333333334
322,240904,134,7,30/06/2013,0,0,0,0,0,0.0
323,326681,54,4,11/07/2013,657,1,0,0,0,6540.276999999999
324,272937,662,5,26/04/2013,854,1,1,0,0,9630.305583333333
325,11415,126,7,19/04/2015,0,0,0,0,0,0.0
326,436957,1001,6,30/11/2013,471,1,0,0,0,4427.4312222222225
327,171033,657,4,13/02/2014,598,1,0,0,0,4189.365000000001
328,632521,590,4,14/03/2013,319,1,0,0,0,3612.145
329,179002,193,3,25/12/2013,0,0,0,c,1,0.0
330,345971,168,6,21/09/2013,465,1,0,0,0,4378.9
331,463457,16,1,22/07/2013,839,1,0,0,0,6758.8591071428555
332,674866,244,1,04/02/2013,738,1,1,0,0,8861.078333333333
333,479231,545,7,08/02/2015,0,0,0,0,0,0.0
334,369184,1032,6,19/01/2013,492,1,0,0,0,4819.14
335,564608,290,5,31/05/2013,987,1,1,0,0,11174.57
336,421305,548,4,24/01/2013,335,1,1,0,0,4463.13
337,312789,733,1,04/08/2014,3508,1,1,0,1,16633.339476190475
338,548456,654,4,06/06/2013,716,1,1,0,0,7185.299761904764
339,195259,272,6,04/05/2013,377,1,0,0,0,3748.558
340,669573,1017,3,20/03/2013,1176,1,1,0,0,8323.08
341,599293,708,2,20/05/2014,462,1,1,0,0,4137.71
342,33900,819,4,08/01/2015,454,1,1,0,0,5545.215
343,74619,99,3,26/06/2013,372,1,0,0,0,3617.893095238095
344,284898,982,2,10/12/2013,710,1,0,0,0,7526.450333333333
345,402135,683,5,03/04/2015,0,0,1,b,1,0.0
346,447277,194,3,16/10/2013,373,1,0,0,0,4033.9266666666663
347,588164,853,2,30/06/2015,1201,1,1,0,0,10724.91
348,456931,53,1,28/04/2014,650,1,1,0,1,6851.82
349,221701,281,4,07/02/2013,508,1,1,0,0,5578.45
350,535271,101,2,02/09/2014,879,1,1,0,0,8943.69
351,171677,440,5,05/06/2015,769,1,1,0,1,8150.157333333333
352,226127,994,2,18/03/2014,435,1,1,0,0,4371.438
353,414979,168,2,30/07/2013,930,1,1,0,1,10478.72
354,500051,48,7,27/10/2013,0,0,0,0,0,0.0
355,329177,652,6,15/02/2014,501,1,0,0,0,4356.384499999999
356,541113,934,6,11/01/2014,474,1,0,0,0,4528.421
357,124681,223,6,29/03/2014,589,1,0,0,0,5155.587619047619
358,284177,378,5,26/12/2014,0,0,0,c,1,0.0
359,90749,865,3,17/07/2013,624,1,1,0,0,7446.017
360,237894,466,5,31/01/2014,861,1,0,0,0,7955.75
361,506152,789,5,14/02/2014,546,1,0,0,0,4559.348
362,622882,61,7,07/06/2015,0,0,0,0,0,0.0
363,34430,765,4,19/12/2013,1068,1,1,0,0,13147.65
364,268594,673,1,23/02/2015,500,1,0,0,0,5548.024
365,368485,258,3,25/06/2014,444,1,0,0,0,4704.018666666667
366,602478,740,3,08/10/2014,499,1,1,0,0,7016.62
367,202788,1080,1,16/09/2013,764,1,0,0,0,8531.098333333333
368,675955,918,5,20/06/2014,661,1,1,0,0,6652.179
369,611958,857,6,22/06/2013,1004,1,0,0,0,8254.992
370,597571,837,1,01/07/2013,482,1,1,0,0,3248.3
371,317074,516,7,01/03/2015,0,0,0,0,0,0.0
372,380943,446,2,27/05/2014,505,1,0,0,0,4158.44
373,649251,835,4,30/05/2013,0,0,1,a,0,0.0
374,386136,140,7,03/02/2013,0,0,0,0,0,0.0
375,411910,207,3,14/08/2013,1584,1,1,0,0,14588.36
376,119756,961,4,29/01/2015,668,1,1,0,0,6129.81
377,251963,772,2,18/03/2014,507,1,1,0,0,3707.9793333333337
378,292719,1089,2,02/09/2014,1050,1,1,0,0,10902.28
379,77065,521,3,05/03/2014,421,1,1,0,0,5592.655
380,206967,823,5,17/01/2014,600,1,0,0,0,5826.132
381,521339,436,6,14/09/2013,426,1,0,0,0,3750.6160952380956
382,363365,483,7,09/03/2014,0,0,0,0,0,0.0
383,481077,215,2,25/03/2014,333,1,0,0,0,4047.6243333333337
384,711386,109,5,29/05/2015,802,1,0,0,0,7038.211666666666
385,66970,858,1,16/12/2013,590,1,1,0,0,6665.38
386,435729,425,4,05/03/2015,501,1,1,0,0,3929.59
387,426284,357,5,24/07/2015,905,1,0,0,1,6322.92
388,435236,255,1,02/02/2015,575,1,1,0,0,6020.2
389,199039,798,6,07/02/2015,343,1,0,0,0,3011.7857380952382
390,99250,366,6,23/03/2013,304,1,0,0,0,3023.21
391,580140,534,2,07/04/2015,510,1,0,0,1,6428.241976190476
392,254820,179,5,20/06/2014,1176,1,1,0,0,10430.506833333333
393,155130,258,2,03/09/2013,464,1,0,0,1,5065.880000000001
394,503682,693,5,29/08/2014,384,1,0,0,1,4484.194666666666
395,288534,999,4,24/10/2013,685,1,1,0,1,10215.99
396,67050,834,6,19/04/2014,492,1,0,0,0,4738.045
397,174771,512,4,31/10/2013,1410,1,0,0,1,7133.95
398,442288,818,2,23/04/2013,662,1,1,0,0,6296.44
399,606734,534,6,12/10/2013,606,1,0,0,0,7767.091666666667
400,431156,1084,2,17/12/2013,1099,1,1,0,0,9390.28
401,424121,34,2,10/03/2015,861,1,0,0,0,6673.076428571426
402,557753,101,4,27/03/2014,686,1,0,0,0,5960.203333333333
403,520831,187,1,02/03/2015,885,1,1,0,0,7326.3330000000005
404,376589,20,1,23/09/2013,1041,1,1,0,0,9970.6
405,7670,828,7,26/10/2014,0,0,0,0,0,0.0
406,303546,434,1,12/08/2013,823,1,1,0,1,11387.87
407,236740,738,1,04/05/2015,864,1,1,0,0,11132.878333333334
408,145734,351,5,07/03/2014,569,1,1,0,0,6972.75
409,134420,1020,4,30/01/2014,905,1,0,0,0,6966.36
410,691699,86,7,11/08/2013,0,0,0,0,0,0.0
411,233889,266,3,17/06/2015,573,1,1,0,0,4850.3624285714295
412,653554,608,5,20/06/2014,1024,1,1,0,0,9783.517833333333
413,481046,708,5,21/02/2014,493,1,1,0,1,4677.618333333334
414,423103,734,3,05/02/2014,605,1,1,0,0,6614.025
415,693486,776,7,07/06/2015,0,0,0,0,0,0.0
416,90193,1060,2,09/04/2013,853,1,1,0,0,7546.04
417,119482,182,2,29/04/2014,507,1,1,0,0,6919.91
418,525167,542,3,16/01/2013,431,1,0,0,0,5242.08
419,239754,602,1,06/05/2013,610,1,0,0,0,5721.506666666666
420,332806,101,4,07/11/2013,777,1,1,0,0,7860.09
421,142056,784,7,30/06/2013,0,0,0,0,0,0.0
422,673000,679,7,17/11/2013,0,0,0,0,0,0.0
423,567353,535,4,14/08/2014,793,1,0,0,1,6866.4958333333325
424,696641,844,4,06/02/2014,516,1,1,0,0,5508.882714285714
425,628766,595,7,24/05/2015,0,0,0,0,0,0.0
426,544695,25,6,30/03/2013,1831,1,0,0,0,12534.01
427,652921,416,3,03/12/2014,1819,1,1,0,0,15014.03
428,436682,539,4,22/01/2015,966,1,0,0,0,9061.240999999998
429,158580,77,3,28/08/2013,642,1,1,0,0,7618.905
430,184394,641,2,09/07/2013,493,1,0,0,0,4476.264
